dma,weeks_present,coverage
ZANESVILLE,1,0.016129032258064516
UTICA,1,0.016129032258064516
VICTORIA,1,0.016129032258064516
HELENA,1,0.016129032258064516
WHEELING - STEUBENVILLE,1,0.016129032258064516
EVANSVILLE,1,0.016129032258064516
LINCOLN & HSTNGS - KRNY,1,0.016129032258064516
AMARILLO,1,0.016129032258064516
"ALBANY, GA",1,0.016129032258064516
BOWLING GREEN,1,0.016129032258064516
ELMIRA (CORNING),1,0.016129032258064516
GREAT FALLS,2,0.03225806451612903
TERRE HAUTE,2,0.03225806451612903
SHERMAN - ADA,2,0.03225806451612903
MARQUETTE,2,0.03225806451612903
MONROE - EL DORADO,2,0.03225806451612903
LAKE CHARLES,2,0.03225806451612903
EUREKA,2,0.03225806451612903
ERIE,2,0.03225806451612903
COLUMBUS - TUPELO - WEST POINT,2,0.03225806451612903
WATERTOWN,2,0.03225806451612903
YOUNGSTOWN,2,0.03225806451612903
YUMA - EL CENTRO,2,0.03225806451612903
PRESQUE ISLE,2,0.03225806451612903
HATTIESBURG - LAUREL,2,0.03225806451612903
TOPEKA,2,0.03225806451612903
