dma,assignment,total_bookings,avg_weekly
NEW YORK,Control,2085,33.6
LOS ANGELES,Control,1395,22.5
"WASHINGTON, DC (HAGRSTWN)",Control,774,12.7
MIAMI - FT. LAUDERDALE,Control,511,8.2
DALLAS - FT. WORTH,Control,482,7.9
SEATTLE - TACOMA,Control,474,7.6
PHILADELPHIA,Control,426,7.1
AUSTIN,Control,263,4.7
SAN DIEGO,Control,231,4.0
MINNEAPOLIS - ST. PAUL,Control,230,3.9
TAMPA - ST. PETE (SARASOTA),Control,230,4.1
RALEIGH - DURHAM (FAYETVLLE),Control,215,3.9
BALTIMORE,Control,189,3.7
CHARLOTTE,Control,188,3.6
WEST PALM BEACH - FT. PIERCE,Control,181,3.5
CLEVELAND - AKRON (CANTON),Control,114,2.2
RICHMOND - PETERSBURG,Control,106,2.8
JACKSONVILLE,Control,103,2.5
FT. MYERS - NAPLES,Control,101,2.3
KANSAS CITY,Control,101,2.3
NEW ORLEANS,Control,88,2.1
INDIANAPOLIS,Control,83,1.9
SANTABARBRA - SANMAR - SANLUOB,Control,82,2.5
"COLUMBIA, SC",Control,81,2.2
PITTSBURGH,Control,77,2.1
MILWAUKEE,Control,74,2.2
ALBANY - SCHENECTADY - TROY,Control,69,2.0
MONTEREY - SALINAS,Control,68,1.9
RENO,Control,66,2.1
BIRMINGHAM (ANN & TUSC),Control,60,1.9
ALBUQUERQUE - SANTA FE,Control,56,1.9
BURLINGTON - PLATTSBURGH,Control,53,2.0
CHARLOTTESVILLE,Control,53,1.8
HONOLULU,Control,53,2.2
SAVANNAH,Control,43,1.5
GREENSBORO - H. POINT - W. SALEM,Control,38,1.6
"ROCHESTER, NY",Control,37,1.5
FT. WAYNE,Control,26,1.2
"LAFAYETTE, LA",Control,26,1.9
LOUISVILLE,Control,26,1.5
IDAHO FALLS - POCATELLO,Control,24,1.8
TALLAHASSEE - THOMASVILLE,Control,24,1.3
OMAHA,Control,21,1.6
MISSOULA,Control,20,1.4
BUTTE - BOZEMAN,Control,19,1.4
RAPID CITY,Control,19,2.1
FLINT - SAGINAW - BAY CITY,Control,18,1.5
LITTLE ROCK - PINE BLUFF,Control,18,1.4
FRESNO - VISALIA,Control,17,1.5
HUNTSVILLE - DECATUR (FLOR),Control,17,1.7
FT. SMITH - FAY - SPRNGDL - RGRS,Control,16,1.2
SPRINGFIELD - HOLYOKE,Control,16,1.6
LEXINGTON,Control,15,1.2
BATON ROUGE,Control,14,1.2
MEDFORD - KLAMATH FALLS,Control,14,2.3
WAUSAU - RHINELANDER,Control,13,1.6
AUGUSTA,Control,12,1.3
LA CROSSE - EAU CLAIRE,Control,11,2.2
QUINCY - HANNIBAL - KEOKUK,Control,10,2.5
SALISBURY,Control,10,1.2
DAVENPORT - R. ISLAND - MOLINE,Control,9,1.5
DULUTH - SUPERIOR,Control,9,1.1
