week,postal_code,bookings,sales,dma_code,dma_description,dma_mapped
2024-12-30,01002,2,1969.5900000000001,543,SPRINGFIELD - HOLYOKE,True
2024-12-30,01120,1,1161.2,,,False
2024-12-30,01741,1,1210.86,506,BOSTON (MANCHESTER),True
2024-12-30,02108,1,3819.6,506,BOSTON (MANCHESTER),True
2024-12-30,02360,1,1038.67,506,BOSTON (MANCHESTER),True
2024-12-30,04110,2,978.0,500,PORTLAND - AUBURN,True
2024-12-30,06405,1,5009.41,533,HARTFORD & NEW HAVEN,True
2024-12-30,06783,1,6043.98,533,HARTFORD & NEW HAVEN,True
2024-12-30,06840,1,3390.37,501,NEW YORK,True
2024-12-30,06878,1,2951.82,501,NEW YORK,True
2024-12-30,06890,1,1125.08,501,NEW YORK,True
2024-12-30,07030,1,881.78,501,NEW YORK,True
2024-12-30,07043,1,230.34,501,NEW YORK,True
2024-12-30,07450,1,1525.28,501,NEW YORK,True
2024-12-30,08077,2,1510.56,504,PHILADELPHIA,True
2024-12-30,10280,1,1484.86,501,NEW YORK,True
2024-12-30,10576,1,1223.8,501,NEW YORK,True
2024-12-30,10965,2,2102.74,501,NEW YORK,True
2024-12-30,11238,1,3157.3,501,NEW YORK,True
2024-12-30,11769,1,2185.12,501,NEW YORK,True
2024-12-30,15025,2,7168.38,508,PITTSBURGH,True
2024-12-30,19806,1,2089.89,504,PHILADELPHIA,True
2024-12-30,19963,1,1368.32,576,SALISBURY,True
2024-12-30,20186,1,821.0,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,20815,1,1450.0,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,20817,1,4483.04,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,20879,1,2019.67,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,22039,1,7174.1,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,22209,2,7957.84,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,22310,1,1299.47,511,"WASHINGTON, DC (HAGRSTWN)",True
2024-12-30,22902,1,2036.03,584,CHARLOTTESVILLE,True
2024-12-30,27540,1,1631.52,560,RALEIGH - DURHAM (FAYETVLLE),True
2024-12-30,29201,1,1239.94,546,"COLUMBIA, SC",True
2024-12-30,29455,2,3587.16,519,"CHARLESTON, SC",True
2024-12-30,29681,1,584.54,567,GREENVLL - SPART - ASHEVLL - AND,True
2024-12-30,30135,1,1069.16,524,ATLANTA,True
2024-12-30,30152,1,1155.3,524,ATLANTA,True
2024-12-30,30188,1,1289.01,524,ATLANTA,True
2024-12-30,30506,1,894.78,524,ATLANTA,True
2024-12-30,32080,1,445.0,561,JACKSONVILLE,True
2024-12-30,33180,1,1365.96,528,MIAMI - FT. LAUDERDALE,True
2024-12-30,33311,2,2414.68,528,MIAMI - FT. LAUDERDALE,True
2024-12-30,33445,1,1242.55,548,WEST PALM BEACH - FT. PIERCE,True
2024-12-30,33606,4,42783.18,539,TAMPA - ST. PETE (SARASOTA),True
2024-12-30,33629,1,20235.59,539,TAMPA - ST. PETE (SARASOTA),True
2024-12-30,34113,1,3723.3,571,FT. MYERS - NAPLES,True
2024-12-30,36608,1,2907.09,686,MOBILE - PENSACOLA (FT WALT),True
2024-12-30,36830,1,868.2,522,"COLUMBUS, GA",True
2024-12-30,37777,1,2382.18,557,KNOXVILLE,True
2024-12-30,43081,1,440.78,535,"COLUMBUS, OH",True
2024-12-30,44122,2,18736.52,510,CLEVELAND - AKRON (CANTON),True
2024-12-30,46530,2,5461.82,588,SOUTH BEND - ELKHART,True
2024-12-30,48198,2,2787.38,505,DETROIT,True
2024-12-30,53715,1,440.42,669,MADISON,True
2024-12-30,54517,1,570.96,676,DULUTH - SUPERIOR,True
2024-12-30,55331,2,12736.0,613,MINNEAPOLIS - ST. PAUL,True
2024-12-30,60045,1,2077.01,602,CHICAGO,True
2024-12-30,60305,1,985.02,602,CHICAGO,True
2024-12-30,60540,1,2119.02,602,CHICAGO,True
2024-12-30,64108,1,2205.0,616,KANSAS CITY,True
2024-12-30,66061,1,766.07,616,KANSAS CITY,True
2024-12-30,70115,1,1771.62,622,NEW ORLEANS,True
2024-12-30,70118,2,479.04,622,NEW ORLEANS,True
2024-12-30,73112,1,472.55,650,OKLAHOMA CITY,True
2024-12-30,75080,7,13039.220000000001,623,DALLAS - FT. WORTH,True
2024-12-30,75254,2,3957.7400000000002,623,DALLAS - FT. WORTH,True
2024-12-30,77318,6,17000.1,618,HOUSTON,True
2024-12-30,77550,1,3969.4,618,HOUSTON,True
2024-12-30,80111,1,4657.05,751,DENVER,True
2024-12-30,80123,1,523.0,751,DENVER,True
2024-12-30,80127,1,533.45,751,DENVER,True
2024-12-30,85234,2,11690.86,753,PHOENIX (PRESCOTT),True
2024-12-30,87571,1,533.41,790,ALBUQUERQUE - SANTA FE,True
2024-12-30,89509,1,2234.52,811,RENO,True
2024-12-30,90014,1,2703.03,803,LOS ANGELES,True
2024-12-30,90291,2,7279.84,803,LOS ANGELES,True
2024-12-30,91105,2,2481.27,803,LOS ANGELES,True
2024-12-30,91360,2,9711.08,803,LOS ANGELES,True
2024-12-30,92020,1,3345.98,825,SAN DIEGO,True
2024-12-30,92109,1,183.48,825,SAN DIEGO,True
2024-12-30,94062,1,538.2,807,SAN FRANCISCO - OAK - SAN JOSE,True
2024-12-30,94587,1,1081.78,807,SAN FRANCISCO - OAK - SAN JOSE,True
2024-12-30,94618,2,2531.9900000000002,807,SAN FRANCISCO - OAK - SAN JOSE,True
2024-12-30,94703,1,317.26,807,SAN FRANCISCO - OAK - SAN JOSE,True
2024-12-30,94901,2,7607.51,807,SAN FRANCISCO - OAK - SAN JOSE,True
